protein,mll_full,mll_joint,lr
P39177-(USPG)_sample_4,2.080063890347623,1.5373374502065063,1.0854528802822339
P39177-(USPG)_sample_5,2.6362840334497353,1.779017198072199,1.7145336707550727
P39177-(USPG)_sample_6,2.060056585825713,1.5150614535311016,1.0899902645892232
P39177-(USPG)_sample_7,2.412814571537346,1.712189609675704,1.4012499237232836
P39177-(USPG)_sample_8,2.147356046456288,1.5918619622603103,1.1109881683919554
P39177-(USPG)_sample_9,2.225541925177444,1.5871300630114082,1.276823724332072
P39177-(USPG)_sample_10,2.4485532928375564,1.6877131274464807,1.5216803307821514
P39830-(YBAL)_sample_1,2.3115752506615688,1.5366459868974767,1.5498585275281842
P39830-(YBAL)_sample_2,2.798630729394885,1.7898462168963856,2.017569024996999
P39830-(YBAL)_sample_3,2.4502174902271094,1.700537474843349,1.4993600307675208
P39830-(YBAL)_sample_4,2.057042456587369,1.4480356170932718,1.2180136789881941
P39830-(YBAL)_sample_5,2.390189182488257,1.5925200716162087,1.5953382217440963
P39830-(YBAL)_sample_6,2.8517084435017512,1.7553895811793108,2.192637724644881
P39830-(YBAL)_sample_7,2.555748202469333,1.672719181109806,1.7660580427190542
P39830-(YBAL)_sample_8,2.6242537475414527,1.6861223356455308,1.8762628237918437
P39830-(YBAL)_sample_9,2.8842144638981804,1.7357027293257905,2.2970234691447797
P39830-(YBAL)_sample_10,2.5154824102976434,1.691446551380279,1.6480717178347288
P39835-(GNTT)_sample_1,1.9503179148841934,1.2760774246371416,1.3484809804941036
P39835-(GNTT)_sample_2,2.0938467910649257,1.3643612998804613,1.4589709823689287
P39835-(GNTT)_sample_3,2.067699617274786,1.3931955992353162,1.3490080360789398
P39835-(GNTT)_sample_4,1.6990410214112535,1.2039888320026744,0.9901043788171582
P39835-(GNTT)_sample_5,2.1243807614102677,1.4293154819506158,1.3901305589193038
P39835-(GNTT)_sample_6,2.0496570699142693,1.3429307567740476,1.4134526262804434
P39835-(GNTT)_sample_7,1.9118017326890269,1.305152529045749,1.2132984072865556
