protein,lysate,lysate_MgCl2,joint
P0A7J7-(RPLK)_sample_4,1.088070556912606,1.1888274263120773,1.5871152731522746
P0A7J7-(RPLK)_sample_5,1.0763809114957998,1.0438522811173243,1.4615866101302886
P0A7J7-(RPLK)_sample_6,1.0932870716259884,1.5185076204932704,1.616989823085469
P0A7J7-(RPLK)_sample_7,0.919175020945349,1.080864947258289,1.4354564449292653
P0A7J7-(RPLK)_sample_8,0.9196140969332057,1.0245737778288193,1.4247940441350626
P0A7J7-(RPLK)_sample_9,1.0269679122559385,1.1740555366102632,1.5542649873368637
P0A7L0-(RPLA)_sample_1,1.2879717897674747,1.2037076579298571,1.7227145572417635
P0A7L0-(RPLA)_sample_10,1.104230448548382,1.1637647236188244,1.6630137209763727
P0A7L0-(RPLA)_sample_2,1.2476701780571384,0.9649352091283055,1.5142683597136941
P0A7L0-(RPLA)_sample_3,1.1547031762318984,1.114613521057503,1.6590336282765643
P0A7L0-(RPLA)_sample_4,1.1518755821428557,1.013058660938106,1.5545958947133063
P0A7L0-(RPLA)_sample_5,1.091352164210336,1.1333357067921677,1.5813311153102783
P0A7L0-(RPLA)_sample_6,1.2412679908182696,1.3902560107843622,1.755653843971681
P0A7L0-(RPLA)_sample_7,1.142705364943987,1.295717467046989,1.807454182436688
P0A7L0-(RPLA)_sample_8,0.9417607459065334,0.9978304373798941,1.4651529508868497
P0A7L0-(RPLA)_sample_9,1.0392483498727596,1.0932490494909743,1.6184903123603718
P0A7L8-(RPMA)_sample_1,0.8242635155743774,0.7858185796255934,1.0599263048106096
P0A7L8-(RPMA)_sample_10,1.070451755625297,1.0055508373860562,1.3925889936250684
P0A7L8-(RPMA)_sample_2,1.1784329588358256,1.039439902678963,1.3471494605416146
P0A7L8-(RPMA)_sample_3,0.9138606214055207,1.0097866357494383,1.2663505399040331
P0A7L8-(RPMA)_sample_4,1.2787032970198633,0.7247595425007716,1.2267138073729527
P0A7L8-(RPMA)_sample_5,0.8295928695967906,0.5414625031520093,1.0548966657093677
P0A7L8-(RPMA)_sample_6,0.7359687611549933,0.9027020883439694,1.2106888557008721
P0A7L8-(RPMA)_sample_7,1.021958459941397,0.9053143614363266,1.2423324352169345
P0A7L8-(RPMA)_sample_8,0.6730068959727223,1.089409786004598,1.1124376933507336
