,condition,uniqueID,y,x
320,lysate,P00452-(NRDA),1.0,37.0
321,lysate,P00452-(NRDA),0.9943240039430156,40.4
322,lysate,P00452-(NRDA),0.965959079559297,46.9
323,lysate,P00452-(NRDA),0.3073030807864628,52.9
324,lysate,P00452-(NRDA),0.0944986812038644,58.6
325,lysate,P00452-(NRDA),0.0593988057353552,62.8
326,lysate,P00452-(NRDA),0.0265759137017857,69.0
327,lysate,P00452-(NRDA),0.0284273383252555,74.8
328,lysate,P00452-(NRDA),0.0239543231800747,80.5
329,lysate,P00452-(NRDA),0.0233031151884525,87.0
330,MgCl2,P00452-(NRDA),1.0,37.0
331,MgCl2,P00452-(NRDA),1.0684421729788331,40.4
332,MgCl2,P00452-(NRDA),1.0783516271661373,46.9
333,MgCl2,P00452-(NRDA),0.4797810394716419,52.9
334,MgCl2,P00452-(NRDA),0.1294437979235854,58.6
335,MgCl2,P00452-(NRDA),0.078841815722292,62.8
336,MgCl2,P00452-(NRDA),0.0318164822022063,69.0
337,MgCl2,P00452-(NRDA),0.0303837705597585,74.8
338,MgCl2,P00452-(NRDA),0.0228023012629382,80.5
339,MgCl2,P00452-(NRDA),0.0220603720161383,87.0
340,MgCl2,P00452-(NRDA),1.0,37.0
341,MgCl2,P00452-(NRDA),1.079975626013968,40.4
342,MgCl2,P00452-(NRDA),1.0717229331986742,46.9
343,MgCl2,P00452-(NRDA),0.4412350032146186,52.9
344,MgCl2,P00452-(NRDA),0.119526835929462,58.6
345,MgCl2,P00452-(NRDA),0.072989833635259,62.8
346,MgCl2,P00452-(NRDA),0.0287665273803859,69.0
347,MgCl2,P00452-(NRDA),0.031108342343934,74.8
348,MgCl2,P00452-(NRDA),0.0249346807750053,80.5
349,MgCl2,P00452-(NRDA),0.0222255218171094,87.0
350,MgCl2,P00452-(NRDA),1.0,37.0
351,MgCl2,P00452-(NRDA),1.056438990442424,40.4
352,MgCl2,P00452-(NRDA),1.0869138074212787,46.9
353,MgCl2,P00452-(NRDA),0.4229470833428673,52.9
354,MgCl2,P00452-(NRDA),0.1126063078844699,58.6
355,MgCl2,P00452-(NRDA),0.0711881442461656,62.8
356,MgCl2,P00452-(NRDA),0.0337908006820034,69.0
357,MgCl2,P00452-(NRDA),0.0320832278603412,74.8
358,MgCl2,P00452-(NRDA),0.0250699413238527,80.5
359,MgCl2,P00452-(NRDA),0.0218634940240674,87.0
360,lysate,P00490-(MALP),1.0,37.0
361,lysate,P00490-(MALP),1.0695349628583417,40.4
362,lysate,P00490-(MALP),1.007496286016802,46.9
363,lysate,P00490-(MALP),0.9748754023751602,52.9
364,lysate,P00490-(MALP),0.8046580301960028,58.6
365,lysate,P00490-(MALP),0.3987697866669578,62.8
366,lysate,P00490-(MALP),0.0319000126595048,69.0
367,lysate,P00490-(MALP),0.0330886064995183,74.8
368,lysate,P00490-(MALP),0.0283758170627264,80.5
369,lysate,P00490-(MALP),0.0260936512721929,87.0
370,lysate,P00490-(MALP),1.0,37.0
371,lysate,P00490-(MALP),1.1171930216799166,40.4
372,lysate,P00490-(MALP),1.0373690675982457,46.9
373,lysate,P00490-(MALP),1.047753024624294,52.9
374,lysate,P00490-(MALP),0.8630862925898978,58.6
375,lysate,P00490-(MALP),0.484925048242916,62.8
376,lysate,P00490-(MALP),0.0358010663199176,69.0
377,lysate,P00490-(MALP),0.0375088046216971,74.8
378,lysate,P00490-(MALP),0.0330044687062721,80.5
379,lysate,P00490-(MALP),0.0308501583400138,87.0
380,lysate,P00490-(MALP),1.0,37.0
381,lysate,P00490-(MALP),1.1014733288830048,40.4
382,lysate,P00490-(MALP),1.0455269361910609,46.9
383,lysate,P00490-(MALP),1.0231308463923998,52.9
384,lysate,P00490-(MALP),0.8038620395385456,58.6
385,lysate,P00490-(MALP),0.4600611418009276,62.8
386,lysate,P00490-(MALP),0.0303061847148871,69.0
387,lysate,P00490-(MALP),0.0353102259702253,74.8
388,lysate,P00490-(MALP),0.0300955907701748,80.5
389,lysate,P00490-(MALP),0.02888745598068,87.0
390,MgCl2,P00490-(MALP),1.0,37.0
391,MgCl2,P00490-(MALP),1.0231875274658968,40.4
392,MgCl2,P00490-(MALP),1.029830948062792,46.9
393,MgCl2,P00490-(MALP),0.8427490470529195,52.9
394,MgCl2,P00490-(MALP),0.5441380355721462,58.6
395,MgCl2,P00490-(MALP),0.1577832297705363,62.8
396,MgCl2,P00490-(MALP),0.030843951290585,69.0
397,MgCl2,P00490-(MALP),0.0310267877839423,74.8
398,MgCl2,P00490-(MALP),0.0263556965940227,80.5
399,MgCl2,P00490-(MALP),0.025687534696609,87.0
400,MgCl2,P00490-(MALP),1.0,37.0
401,MgCl2,P00490-(MALP),1.0450080206000214,40.4
402,MgCl2,P00490-(MALP),1.035201377884847,46.9
403,MgCl2,P00490-(MALP),0.8418822229935669,52.9
404,MgCl2,P00490-(MALP),0.5331210591756148,58.6
405,MgCl2,P00490-(MALP),0.1801818430580329,62.8
406,MgCl2,P00490-(MALP),0.0390357467150542,69.0
407,MgCl2,P00490-(MALP),0.0368016513299986,74.8
408,MgCl2,P00490-(MALP),0.0317026919186705,80.5
409,MgCl2,P00490-(MALP),0.0282482306917819,87.0
410,MgCl2,P00490-(MALP),1.0,37.0
411,MgCl2,P00490-(MALP),1.0169335292010295,40.4
412,MgCl2,P00490-(MALP),1.055414645196843,46.9
413,MgCl2,P00490-(MALP),0.8793533800063198,52.9
414,MgCl2,P00490-(MALP),0.5135913026756769,58.6
415,MgCl2,P00490-(MALP),0.1915539561881543,62.8
416,MgCl2,P00490-(MALP),0.0397237481651178,69.0
417,MgCl2,P00490-(MALP),0.0394801087307847,74.8
418,MgCl2,P00490-(MALP),0.0306642254951528,80.5
419,MgCl2,P00490-(MALP),0.0306314295063267,87.0
420,lysate,P00509-(ASPC),1.0,37.0
421,lysate,P00509-(ASPC),1.0633273750946397,40.4
422,lysate,P00509-(ASPC),1.0573212783721353,46.9
423,lysate,P00509-(ASPC),1.1139164699900028,52.9
424,lysate,P00509-(ASPC),1.0893552065976035,58.6
425,lysate,P00509-(ASPC),0.749220593818375,62.8
426,lysate,P00509-(ASPC),0.0470049535277025,69.0
427,lysate,P00509-(ASPC),0.0467909521830558,74.8
428,lysate,P00509-(ASPC),0.0292791443010068,80.5
429,lysate,P00509-(ASPC),0.0295755297465716,87.0
430,lysate,P00509-(ASPC),1.0,37.0
431,lysate,P00509-(ASPC),1.088706436423565,40.4
432,lysate,P00509-(ASPC),1.0240005369016958,46.9
433,lysate,P00509-(ASPC),1.159937226378572,52.9
434,lysate,P00509-(ASPC),1.1450202874899864,58.6
435,lysate,P00509-(ASPC),0.8602029535348441,62.8
436,lysate,P00509-(ASPC),0.0381497721261718,69.0
437,lysate,P00509-(ASPC),0.0356204108815425,74.8
438,lysate,P00509-(ASPC),0.0228364067172931,80.5
439,lysate,P00509-(ASPC),0.0253789318057114,87.0
440,lysate,P00509-(ASPC),1.0,37.0
441,lysate,P00509-(ASPC),1.1137327885175683,40.4
442,lysate,P00509-(ASPC),1.061897201526196,46.9
443,lysate,P00509-(ASPC),1.1972882389498205,52.9
444,lysate,P00509-(ASPC),1.15402252395228,58.6
445,lysate,P00509-(ASPC),0.9100040733399196,62.8
446,lysate,P00509-(ASPC),0.0440665916830051,69.0
447,lysate,P00509-(ASPC),0.0415086512849619,74.8
448,lysate,P00509-(ASPC),0.0284733793608816,80.5
449,lysate,P00509-(ASPC),0.0258940473330393,87.0
450,MgCl2,P00509-(ASPC),1.0,37.0
451,MgCl2,P00509-(ASPC),1.026569669399327,40.4
452,MgCl2,P00509-(ASPC),1.1018256611327797,46.9
453,MgCl2,P00509-(ASPC),0.9624752208829984,52.9
454,MgCl2,P00509-(ASPC),0.8005344266343833,58.6
455,MgCl2,P00509-(ASPC),0.4752960088506311,62.8
456,MgCl2,P00509-(ASPC),0.0383283398999777,69.0
457,MgCl2,P00509-(ASPC),0.03570846799582,74.8
458,MgCl2,P00509-(ASPC),0.0284737738995836,80.5
459,MgCl2,P00509-(ASPC),0.0265864001390941,87.0
460,MgCl2,P00509-(ASPC),1.0,37.0
461,MgCl2,P00509-(ASPC),1.0732987381162935,40.4
462,MgCl2,P00509-(ASPC),1.075636354484099,46.9
463,MgCl2,P00509-(ASPC),0.9690228215313104,52.9
464,MgCl2,P00509-(ASPC),0.8110503499654929,58.6
465,MgCl2,P00509-(ASPC),0.5275984017315466,62.8
466,MgCl2,P00509-(ASPC),0.0478292439984911,69.0
467,MgCl2,P00509-(ASPC),0.0465365887216427,74.8
468,MgCl2,P00509-(ASPC),0.0359460392330493,80.5
469,MgCl2,P00509-(ASPC),0.0343253644389783,87.0
470,MgCl2,P00509-(ASPC),1.0,37.0
471,MgCl2,P00509-(ASPC),1.063881301250811,40.4
472,MgCl2,P00509-(ASPC),1.089600958924274,46.9
473,MgCl2,P00509-(ASPC),0.9767938994565666,52.9
474,MgCl2,P00509-(ASPC),0.7015066446818075,58.6
475,MgCl2,P00509-(ASPC),0.5364394151241343,62.8
476,MgCl2,P00509-(ASPC),0.0473477717550698,69.0
477,MgCl2,P00509-(ASPC),0.0427643457500704,74.8
478,MgCl2,P00509-(ASPC),0.0346111550880058,80.5
479,MgCl2,P00509-(ASPC),0.0336298651148693,87.0
480,lysate,P00547-(THRB),1.0,37.0
481,lysate,P00547-(THRB),1.0487127174074111,40.4
482,lysate,P00547-(THRB),1.0347009588550482,46.9
483,lysate,P00547-(THRB),0.8157348702823034,52.9
484,lysate,P00547-(THRB),0.3854466250664159,58.6
